timestamp,ea-total,context_ea-total,date (America/Bogota)
1645855200000,5.7399999999965985,{},2022-02-26 01:00:00-05:00
1645851600000,3.6599999999975807,{},2022-02-26 00:00:00-05:00
1645848000000,4.669999999998481,{},2022-02-25 23:00:00-05:00
1645844400000,22.109999999999673,{},2022-02-25 22:00:00-05:00
1645840800000,68.58000000000322,{},2022-02-25 21:00:00-05:00
1645837200000,72.05000000000314,{},2022-02-25 20:00:00-05:00
1645833600000,188.39999999999736,{},2022-02-25 19:00:00-05:00
1645830000000,243.19999999999993,{},2022-02-25 18:00:00-05:00
1645826400000,248.92999999999984,{},2022-02-25 17:00:00-05:00
1645822800000,269.6900000000022,{},2022-02-25 16:00:00-05:00
1645819200000,255.71999999999457,{},2022-02-25 15:00:00-05:00
1645815600000,247.99000000000103,{},2022-02-25 14:00:00-05:00
1645812000000,254.51999999999907,{},2022-02-25 13:00:00-05:00
1645808400000,255.95000000000414,{},2022-02-25 12:00:00-05:00
1645804800000,264.87999999999386,{},2022-02-25 11:00:00-05:00
1645801200000,210.76000000000772,{},2022-02-25 10:00:00-05:00
1645797600000,160.64999999999452,{},2022-02-25 09:00:00-05:00
1645794000000,82.39000000000851,{},2022-02-25 08:00:00-05:00
1645790400000,67.2699999999976,{},2022-02-25 07:00:00-05:00
1645786800000,69.75000000000023,{},2022-02-25 06:00:00-05:00
1645783200000,31.229999999998768,{},2022-02-25 05:00:00-05:00
1645779600000,5.3699999999978445,{},2022-02-25 04:00:00-05:00
1645776000000,4.530000000002474,{},2022-02-25 03:00:00-05:00
1645772400000,4.749999999992042,{},2022-02-25 02:00:00-05:00
1645768800000,4.770000000014306,{},2022-02-25 01:00:00-05:00
1645765200000,3.809999999994943,{},2022-02-25 00:00:00-05:00
1645761600000,4.909999999997581,{},2022-02-24 23:00:00-05:00
1645758000000,44.81999999998936,{},2022-02-24 22:00:00-05:00
1645754400000,63.62000000000876,{},2022-02-24 21:00:00-05:00
1645750800000,79.27000000000669,{},2022-02-24 20:00:00-05:00
1645747200000,169.48999999999842,{},2022-02-24 19:00:00-05:00
